pname,X_gcj02,Y_gcj02,city,rankInCity,rankInChina,name_en,intro,image_url,bing_search_url
外滩,121.490603,31.237771,上海,1,1,The Bund,外滩是上海市中心的一个区域，由一段沿黄浦江的马路和沿路的建筑和设施构成，为上海重要的地标之一。全长1.5公里，南起延安东路，北至苏州河上的外白渡桥，东面即黄浦江，西面是旧上海金融、外贸机构的集中地。外滩沿路坐拥二十多幢风格各异的历史建筑，有折衷主义的，也有文艺复兴式的，还有早期现代式的，故而被誉为“万国建筑博览群”。自上海开埠后，外滩就开始成为了上海乃至中国的金融及贸易中心，也被称为“东方华尔街”。,https://so1.360tres.com/t01b04413b10bad5ecd.jpg,https://cn.bing.com/images/search?q=%E5%A4%96%E6%BB%A9&first=1
鼓浪屿,118.067623,24.445391,厦门,1,4,Gulangyu Island,鼓浪屿（白话字：Kó?-lōng-sū；邮政式拼音：Kulangsu）是位于中华人民共和国福建省厦门市思明区西南方的一个小岛，行政区划为鼓浪屿街道，面积不到2平方公里（0.77平方哩），人口约2万。有“海上花园”之美称。除环岛电动车外不允许机动车辆上岛。2005年《中国国家地理》杂志将鼓浪屿评为“中国最美的城区”第一名。2017年7月在波兰克拉科夫举行的第41届世界遗产大会上被正式列入《世界遗产名录》。,https://ts1.tc.mm.bing.net/th/id/R-C.a8ee74efcbd75966dbf251037ca79cf2?rik=TLjno%2fya0Rn2Qg&riu=http%3a%2f%2ftr-osdcp.qunarzz.com%2ftr-osd-tr-space%2fimg%2fa8ee74efcbd75966dbf251037ca79cf2.jpg%3fver%3d1&ehk=nX3vMEasBmiYKC2Z2b%2b55MYnf1%2biqzmfPUKZL8RbSgg%3d&risl=&pid=ImgRaw&r=0,https://cn.bing.com/images/search?q=%E9%BC%93%E6%B5%AA%E5%B1%BF&first=1
故宫博物院,116.397048,39.917752,北京,1,5,The Palace Museum,故宫博物院，又称北京故宫，是位于中华人民共和国北京紫禁城内的博物馆。民国元年（1912年）清帝溥仪退位后仍居于宫内。至民国十三年（1924年）十一月五日，黄郛摄政内阁公布修正清室优待条件第五条，废除皇帝尊号，并将溥仪驱逐出宫。政府代表李煜瀛、京师警卫司令鹿钟麟、警察总监张璧，于六日接管皇宫，封存文物。后经摄政内阁核准，经一年之整理，故宫博物院于民国十四年国庆节（1925年10月10日）正式成立开幕。它位于北京中轴线的中心，占地面积72万平方米，建筑面积约15万平方米；始建于明成祖朱棣永乐四年（1406年），永乐十八年（1420年）落成；藏品也主要是以明、清两代皇宫及其收藏为基础。2012年单日最高客流量突破18万人次，全年客流量突破1500万人次，可以说是世界上接待游客最繁忙的博物馆。,https://ts4.tc.mm.bing.net/th/id/OIP-C.BN9dzaH5KxTocdksqHq2JwHaHa?rs=1&pid=ImgDetMain&o=7&rm=3,https://cn.bing.com/images/search?q=%E6%95%85%E5%AE%AB%E5%8D%9A%E7%89%A9%E9%99%A2&first=1
西湖,120.121526,30.222576,杭州,1,6,West Lake,"西湖位于中华人民共和国浙江省杭州旧城西侧，是中国大陆首批国家重点风景名胜区和中国十大风景名胜之一。中国主要的观赏性淡水湖泊之一。
西湖东靠杭州市区，其余三面环山，面积约6.39平方千米，南北长约3.2千米，东西宽约2.8千米，绕湖一周近15千米。西湖平均水深2.27米，水体容量约为1429万立方米。湖中被孤山、白堤、苏堤、杨公堤分隔，按面积大小分别为外西湖、西里湖（又称“后西湖”或“后湖”）、北里湖（又称“里西湖”）、小南湖（又称“南湖”）及岳湖等五片水面，其中外西湖面积最大。孤山是西湖中最大的天然岛屿，苏堤、白堤越过湖面，小瀛洲、湖心亭、阮公墩三个人工小岛鼎立于外西湖湖心，雷峰塔与保俶塔隔湖相映，由此形成了“一山、二塔、三岛、四堤、五湖”的基本格局。
西湖在历史上曾被评选为首批国家重点风景名胜区（1982年）、中国十大风景名胜（1985年）和首批国家5A级旅游景区（2006年）。此外，1979年中华人民共和国发行的外汇兑换券壹圆券以及2004年发行的第五套人民币壹圆纸币背面均使用了三潭印月的图案。而在中华人民共和国护照第20页上则使用了西湖远景的图案。2011年6月24日，杭州西湖文化景观列入世界遗产名录。",https://hzyly.com/upload/201908/26/201908261930373237.jpg,https://cn.bing.com/images/search?q=%E8%A5%BF%E6%B9%96&first=1
丽江古城,100.235437,26.870614,丽江,1,8,Old Town of Lijiang,丽江古城（或称丽江古镇），位于中华人民共和国云南省丽江市古城区，1997年12月4日被联合国教科文组织列为世界文化遗产，并于2007年获亚太区文物古迹保护奖。,http://cdn6.jinxidao.com/uploads/201407/53bba8fac7f73.jpg,https://cn.bing.com/images/search?q=%E4%B8%BD%E6%B1%9F%E5%8F%A4%E5%9F%8E&first=1
长隆野生动物世界,113.31521,23.002039,广州,1,9,Chimelong Safari Park,长隆野生动物世界位于广州国际乐园内，是一个集娱乐与探索于一体的大型开放式游乐设施。该景区配备着众多大游乐设备和海洋生物表演区，游客可以亲身体验各种大动物的风采，感受自然之美。作为开园以来继广州塔之后，广州成为亚洲最热门的山水 city之一，野生动物也是广州独特的景观特征之一。长隆野生动物世界不仅是一处娱乐场所，更是展现广州自然与人文结合的艺术成果，让游客在欢乐中发现自己的奇妙世界。,http://photo.kubar.cn/photo/sl/1600/1066/photo/21353/20200924/20200924_1600940215_1215_9753_3524_2436.jpg,https://cn.bing.com/images/search?q=%E9%95%BF%E9%9A%86%E9%87%8E%E7%94%9F%E5%8A%A8%E7%89%A9%E4%B8%96%E7%95%8C&first=1
蜈支洲岛,109.72747,18.27433,三亚,1,10,Wuzhizhou Island,蜈支洲岛，简称蜈支洲，古称“古崎洲”，位于海南省三亚市海棠区的海棠湾，距离市区约30公里。其西南侧邻近亚龙湾，东北侧邻近南湾猴岛。,https://p1.ssl.qhimg.com/t01cef313d1f29da80e.png,https://cn.bing.com/images/search?q=%E8%9C%88%E6%94%AF%E6%B4%B2%E5%B2%9B&first=1
锦里古街,104.049824,30.64563,成都,1,13,Jinli Ancient Street,锦里，又名锦里一条街、锦里古街，是位于中国四川省成都市的一条古商业街，最早可追溯到秦汉时期。传说中锦里曾是西蜀历史上最古老、最具有商业气息的街道之一，早在秦汉、三国时期便闻名全国。锦里毗邻武侯祠，颇有古蜀国民风。现在的锦里已经被开发成一条民俗商业步行街，混合三国文化以及川西文化。,https://i.ytimg.com/vi/wxegecxNeHA/maxresdefault.jpg,https://cn.bing.com/images/search?q=%E9%94%A6%E9%87%8C%E5%8F%A4%E8%A1%97&first=1
瘦西湖,119.421577,32.408594,扬州,1,14,Slender West Lake,瘦西湖位于中国江苏省扬州市蜀冈-瘦西湖风景名胜区核心区域，是江苏省唯一一家同时拥有世界文化遗产、国家级风景名胜区、国家5A级旅游景区、国家文化旅游示范区、国家重点公园、全国文明风景旅游区等6个世界级、国家级称号于一身的景区。,https://so1.360tres.com/t018e1aa115157f146f.jpg,https://cn.bing.com/images/search?q=%E7%98%A6%E8%A5%BF%E6%B9%96&first=1
秦始皇帝陵博物院,109.258987,34.380987,西安,1,16,Emperor Qinshihuang's Mausoleum Site Museum,"秦始皇帝陵是秦朝开国皇帝始皇帝的陵墓，位于中国陕西省西安市临潼区骊山北麓，原名骊山园，现为世界遗产及全国重点文物保护单位。陵园距西安市区以东约31公里，现存封土堆高76米，坐西朝东，核心地宫尚未发掘，据考古探测推测其深度约相当于十层楼高，长80米、宽50米，以巨石板构筑并设有复杂的防水系统。  
陵墓修建时间存在争议，传统依据《史记》记载认为始建于公元前247年，历时39年；但现代考古研究（如段清波教授团队）提出实际集中建造期可能仅为统一后的公元前219至前213年，约7年完成。陵园布局仿秦都咸阳，分内外两城，总面积244公顷，外围陪葬的兵马俑坑于1974年被发现，成为20世纪最重要考古发现之一。  
关于地宫的记载见于《史记》，描述其以水银模拟江河、机关密布，现代科技检测亦证实封土存在异常汞分布，形似中国疆域轮廓，支持史料可信性。历史上虽有项羽、黄巢等盗掘传说，但21世纪考古调查未发现成功入侵地宫的证据，仅在周边发现局部盗洞。  
自1987年与兵马俑共同列入《世界遗产名录》以来，是否主动发掘地宫仍存争议，中国官方基于保护技术限制维持「不主动发掘帝王陵」政策。近年考古工作集中于外围陪葬坑，如2023年发布的一号坑第三次发掘成果，揭示秦军军阵排列规律及陶俑制作工艺。",https://www.travelxj.cn:8443/source/02875C1056BCF6BD/NaturalHeritage/5/big/944C9FAE2C1CBA3E.jpg,https://cn.bing.com/images/search?q=%E7%A7%A6%E5%A7%8B%E7%9A%87%E5%B8%9D%E9%99%B5%E5%8D%9A%E7%89%A9%E9%99%A2&first=1
